,links,title,text
0,https://russian.rt.com/article/314644-gorod-na-ruinah-aleppo-do-i-posle,Город на руинах: Алеппо до и после атак террористов,"После атак террористов группировки «Исламское государство»* в сирийском Алеппо город полностью поменял своё лицо. От улиц, домов и мечетей практически ничего не осталось. RT публикует фотографии Алеппо до и после военных действий.

Алеппо — это второй по величине город Сирии, важнейший экономический и геополитический центр страны. Его освобождение может стать ключом к разрешению сирийского конфликта.

Кроме того, Алеппо — один из сирийских городов, который больше остальных пострадал во время войны. До XIX века он был частью Великого шёлкового пути, поэтому его исторический центр отличался особым убранством.

Портал Olimpia.gr сделал подборку фотографий разных исторических частей города до и после атак.

Напомним, Минобороны России совместно с правительством Сирии приступило к масштабной гуманитарной операции по оказанию помощи в Алеппо. Власти САР распространяют среди местных жителей листовки со схемой безопасного выхода из города и инструкцией.

Специальный посланник ООН по Сирии Стаффан де Мистура заявил, что организация внимательно изучила данные о гумоперации России и Сирии в Алеппо, и высказался за необходимость ввести 48-часовую гуманитарную паузу.

«Алеппо имеет первостепенное значение для всех участников конфликта, поскольку это важнейший экономический торговый центр, город, который находится на пересечении торговых путей, занимает выдающееся геополитическое положение. Контроль над Алеппо позволяет контролировать не только весь север Сирии, но и территорию, пограничную с Турцией, район проживания курдов и территорию северо-западного Ирака. Это доминирующий центр данного региона. И для правительственных войск, и для их противников, и для Турции, Саудовской Аравии, США контроль над Алеппо — это ключ к контролю над территорией Сирии и близлежащих регионов», — заявил ранее в интервью RT директор Института политики, права и социального развития МГГУ им. М.А. Шолохова Владимир Шаповалов.

Эксперты утверждают, что взятие Алеппо должно ознаменовать собой конец войны в САР. «Освобождение Алеппо фактически означает освобождение Сирии», — сказал в интервью RT политолог Маис Курбанов.

* «Исламское государство» (ИГ) — запрещённая в России террористическая организация."
1,https://russian.rt.com/article/314427-perelomnyi-moment-kak-vzyatie-aleppo-mozhet-povliyat,Переломный момент: как взятие Алеппо может повлиять на разрешение сирийского конфликта,"Алеппо в кольце. Разгром засевших в городе и отчаянно сопротивляющихся боевиков, похоже, дело времени. Но о штурме пока речь не идёт. Чтобы минимизировать потери среди мирного населения, российские военные и сирийское правительство проводят гуманитарную операцию и призывают экстремистов сложить оружие. О положении на фронтах и стратегическом значении Алеппо — в материале RT.

Ключ к миру

Значение Алеппо трудно переоценить. Это второй по величине город Сирии, важнейший экономический и геополитический центр страны. Его взятие может стать ключом к разрешению сирийского конфликта.

«Алеппо имеет первостепенное значение для всех участников конфликта, поскольку это важнейший экономический торговый центр, город, который находится на пересечении торговых путей, занимает выдающееся геополитическое положение, — сказал в интервью RT директор Института политики, права и социального развития МГГУ им. Шолохова Владимир Шаповалов. — Контроль над Алеппо позволяет контролировать не только весь север Сирии, но и территорию, пограничную с Турцией, район проживания курдов, и территорию Северо-Западного Ирака. Это доминирующий центр данного региона. И для правительственных войск, и для их противников, и для Турции, Саудовской Аравии, США контроль над Алеппо — это ключ к контролю над территорией Сирии и близлежащих регионов».

Неудивительно, что за город ведутся столь ожесточённые бои, причём с самого начала гражданской войны.

«Это важнейший стратегический пункт, экономическая столица Сирии, — отметил в интервью RT директор Центра изучения стран Ближнего Востока и Центральной Азии Семён Багдасаров. — Зачистка Алеппо была бы грандиозной победой нашей коалиции».

Остановить кровопролитие

Однако правительственные войска не спешат форсировать ситуацию. Сирийская армия и ополченцы завершили окружение Алеппо. Боевики оказались отрезаны от всех путей снабжения. Тем самым правительственные силы создали плацдарм для наступления и взятия Алеппо, а также обеспечили себе возможность передышки. И сейчас для руководства Сирии главная задача — разрешить конфликт малой кровью.

С соответствующим призывом к населению и боевикам обратились сирийские военные: «Для того чтобы остановить кровопролитие, мы даём всем людям, носящим оружие в окрестностях восточного Алеппо, реальный шанс урегулировать конфликт, сдав оружие, и остаться в Алеппо. Или для тех, кто желает, — сдать оружие и покинуть город. Мы приглашаем всех, взываем к здравому смыслу и предлагаем соблюсти национальные интересы для восстановления безопасности и стабильности в Алеппо».

Чтобы минимизировать потери среди населения и оказать помощь горожанам, российские военные и сирийское правительство проводят гуманитарную операцию. Мирным жителям и желающим сдаться боевикам будут предоставлены коридоры, по которым они смогут покинуть Алеппо.

Важность этой операции на данном этапе ведения боевых действий сложно переоценить. «Алеппо — это город, в котором живут сотни тысяч человек. И в данной ситуации главное — спасение жизней жителей и обеспечение их продуктами и медикаментами», — заявил в интервью RT Владимир Шаповалов.

Расклад сил

Что же происходит сейчас в Алеппо? Дислокация противоборствующих сторон довольно пёстрая. «Центр города, историческая часть, находится в руках правительственных сил и отрядов самообороны, — обрисовал ситуацию Семён Багдасаров. — Расположение их противников представляет собой чересполосицу различных группировок боевиков. В основном это боевики «Джебхат ан-Нусра»*. На севере — ИГ**. Курды контролируют два квартала. Также в городе есть отряды «Хезболлы».

Однако взять город будет не так просто. Во-первых, необходимо объединить и скоординировать усилия осаждающих. А во-вторых — решить проблему переходов на сирийско-турецкой границе, через которые может поступать помощь боевикам.

«Взятие Алеппо без перекрытия переходов на сирийско-турецкой границе, в первую очередь перехода Азаза, — очень трудная задача, — сказал Багдасаров. — Азаза — это ворота в Турцию. Через этот переход были переброшены масса материальных грузов, боеприпасов, вооружений и тысячи боевиков. Закрывать его надо, и сделать это можно только в союзе с тем квазигосударством, которое создано на северо-востоке, Федерацией Северной Сирии, или иначе — сирийскими курдами».

Курдский вопрос

При зачистке Алеппо территория, которую контролируют сирийские курды, будет играть очень важную роль. «Дело в том, что на этой территории находятся свыше 2 тыс. военнослужащих НАТО, — отметил Семён Багдасаров. — Одна половина — американские войска спецназначения и инженерно-сапёрные части, другая — войска Дании, Великобритании, Франции и Германии. Там чёткой границы не очерчено. В ходе мероприятий могут столкнуться две силы».

Следует учитывать, что курды более других заинтересованы в ликвидации боевиков и могут стать серьёзным союзником Асада. «Для курдов важнейший вопрос — борьба с исламскими боевиками, которые на данный момент являются основными противниками курдов в создании ими автономии, — подчеркнул Владимир Шаповалов. — В этом контексте для курдов важен союз с правительством Сирии, потому что именно Асад может обеспечить безопасность курдских районов — не только от исламских террористов, но и от притязаний со стороны Турции».

Третья сила

Немаловажную роль в урегулировании конфликта или его эскалации могут сыграть Соединённые Штаты.

«США и их партнёры могут призвать боевиков сложить оружие и во избежание кровопролития покинуть город», — сказал Шаповалов. Весь вопрос в том, насколько США в этом заинтересованы. Следует учесть, что из четырёх крупных террористических группировок, действующих в Сирии, две поддерживаются Вашингтоном. С их помощью американцы всё ещё надеются сбросить Асада.

Свои виды на Алеппо имеет и Турция. «Турция вообще претендует на северо-запад Сирии, в том числе на Алеппо. Для Турции это лакомый кусок, — констатировал Багдасаров. — Турки исторически считают Алеппо своим городом. Считают, что там население наиболее тяготеет к Турции. Но это не так».

Взгляд в будущее

Эксперты в один голос утверждают, что взятие Алеппо — это конец войны. «Освобождение Алеппо фактически означает освобождение Сирии», — сказал в интервью RT политолог Маис Курбанов.

«Освобождение Алеппо будет иметь грандиозное значение, — подчеркнул Семён Багдасаров. — Возможно, некоторые группировки сложат оружие».

Взятие Алеппо также будет иметь колоссальное значение и для восстановления мирной жизни в Сирии.

«Контроль над Алеппо позволит завершить процесс восстановления власти сирийского правительства над большей частью территории Сирии, над самой густонаселённой частью, самой экономически развитой частью Сирии, — заявил Владимир Шаповалов. — После установления контроля над Алеппо вопрос о контроле над оставшейся частью Сирии будет вопросом нескольких недель».

Илья Оганджанов

* «Джебхат ан-Нусра» («Фронт ан-Нусра») — запрещённая в России террористическая организация.

** «Исламское государство» (ИГ) — запрещённая в России террористическая организация."
2,https://russian.rt.com/article/314401-eksperty-specsluzhb-rasskazali-o-shemah-borby-s,Эксперты спецслужб рассказали о схемах борьбы с международным терроризмом,"В Санкт-Петербурге завершилось 15-е совещание руководителей спецслужб органов безопасности и правоохранительных органов иностранных государств-партнёров ФСБ РФ. Эксперты, выступавшие на мероприятии, отметили необходимость консолидации общих усилий и рассказали о достигнутых успехах в борьбе с международным терроризмом.

«ИГ* и «Аль-Каида»* — террористические группы, против которых борются спецслужбы со всего мира. Международное сотрудничество на разных уровнях абсолютно необходимо. У террористов нет врагов или друзей. Все, кто не с ними, по их мнению и определению против них», – рассказал руководитель мониторинговой группы при Совете Безопасности ООН по проблематике «Исламского государства», «Аль-Каиды» и «Талибана»* Ханс-Якоб Шиндлер.

По его словам, в последнее время участились случаи присоединения иностранцев к международным террористическим группировкам. В связи с этим были созданы мониторинговые комиссии, которые отслеживают подобные случаи.

«Мы создали мониторинговые группы в Сирии и Ираке, которые отслеживают таких бойцов и возвращают их домой», – отметил он.

Успехи в работе по борьбе с терроризмом отметил и директор Региональной антитеррористической структуры ШОС Евгений Сысоев.

«Мы состоялись организационно, состоялись профессионально, состоялись как эффективная и перспективная международная антитеррористическая структура, которая получает позитивные оценки со стороны Совета глав государств ШОС», – перечислил он основные достижения структуры.

Евгений Сысоев отметил, что за последние годы сложились не только единые подходы к противодействию терроризму, но и сформировалось взаимное доверие и уважение при сотрудничестве спецслужб.

«В основе нашей совместной работы лежит обмен информацией о деятельности иностранных боевиков-террористов. У нас есть совместные базы данных», – подчеркнул Сысоев.

О подобной работе непосредственно в Европе рассказал и советник координатора по борьбе с терроризмом ЕС Гюнтер Заблатниг.

«В настоящее время наша работа сосредоточена на Северной Африке, Сирии, Ираке. Мы также стараемся усилить, активизировать работу внутри Евросоюза в области обмена информации и сбора необходимых данных. Много усилий прилагается по каналам европейского полицейского объединения Европола. Мы также активно ведём сотрудничество на международном уровне, через каналы Интерпола и в двустороннем формате, в том числе и с Российской Федерацией», – подчеркнул он.

По словам представителя ЕС, планируется создать специальную сеть, где будет собираться информация по предупреждению террористических актов. Она объединит специалистов из разных областей.

Заблатниг отметил, что в настоящее время большой проблемой является радикализация людей через социальные сети. Для разрешения этой ситуации было создано спецподразделение, которое ведёт работу в этом направлении, взаимодействуя с руководителями соцсетей.

«Если обнаруживается какой-то негативный контент, например, видеозаписи, фотографии обезглавливания, каких-то жестоких действий террористов, то подразделение Европола передаёт эту информацию в соответствующие структуры, которые отвечают за социальные сети, и предлагает им убрать её», – объяснил работу структуры советник.

Проблему радикализации населения отметил и советник директора Агентства безопасности и информации Сербии Драган Симеунович.

«Мы знаем, что 19% (мигрантов в Сербии. — RT) — молодые люди, большинство которых принимали участие в гражданских войнах в Ираке, Сирии и Афганистане. В связи с этим можно утверждать, что все они держали оружие в своих руках и имеют некоторый опыт. Поэтому если они начнут радикализироваться, а это сейчас очень быстрый процесс особенно из-за соцсетей, то станут опасны», – пояснил он.

Симеунович также отметил, что значительную роль в стимулировании потока мигрантов в Европу сыграли США.

* «Исламское государство» (ИГ), «Аль-Каида» и «Талибан» — террористические организации, запрещённые в России."
3,https://russian.rt.com/article/314081-eksperty-o-terakte-vo-francii-terroristy-pytalis,"Эксперты о теракте во Франции: террористы пытались заявить, что от них нигде не укрыться","Произошедшее вчера нападение на церковь города Сент-Этьен-дю-Рувре на севере Франции, недалеко от Руана, показало, что религиозные святыни не являются препятствием для исламистов. От их рук погиб священник, преступники были ликвидированы. RT пообщался с экспертами, которые отметили, что совершившие нападение пытались заставить людей поверить в то, что от террора негде укрыться. Некоторые из них заключили, что теракты последних месяцев показывают, что «шенгенский проект» потерпел крах.

Незащищённость и раскол

«Цель напавших на церковь на севере Франции — заставить людей по всей стране чувствовать себя незащищёнными. Таким образом, захватить заложников в небольшой деревне оказывается в какой-то мере более убедительным актом, чем постоянно совершать подобное в крупных городах. И это очень серьезная проблема, над решением которой необходимо работать», — заявил политолог Бруно Дрвески.

Эксперт отметил, что своими сегодняшними действиями террористы, возможно, попытались внести дополнительный раскол между христианами и мусульманами.

«Преступники используют различные сценарии атак, а потому полиция никогда не знает наверняка, чего от них можно ожидать. Это элемент психологической войны. Возможно, подобные нападения призваны усилить вражду между христианами и мусульманами, и, в первую очередь, между французской католической церковью и мусульманскими организациями», —заявил Дрвески.

Война с христианством

Схожего мнения придерживается и Саймон Мэйбон, преподаватель Ланкастерского университета. Он также полагает, что целью нападения было развязывание религиозной войны.

«Нападение в церкви, несомненно, весьма символично. И если его действительно совершили члены «Исламского государства»* или им сочувствующие, то этим они пытались заявить, что во Франции от них нигде не укрыться, что они и дальше будут разжигать войну между исламским миром и Западом с его христианскими ценностями. Даже в светской Франции церковь символически противопоставлена исламу», — заявил Мэйбон.

Атака на родину Олланда

Нападение на церковь близ Руана вдвойне символично не только потому. что целью террористов стала церковь, но и потому что неподалёку от места атаки родился сам президент Франции Франсуа Олланд, полагает журналист Александр Мандель.

«Каждые пару дней в Европе — в основном в Германии и Франции — происходят нападения. Перерезать горло священнику — так боевики «Исламского государства» поступали с служителями христианской церкви в Сирии. Так что нападавшие могли иметь отношение к ИГ, хотя это не подтверждено. Кроме того, место, где была совершена атака, крайне символично, потому что президент Франции Франсуа Олланд родился в Руане, приблизительно в пяти километрах от церкви, которая подверглась нападению», — сообщил он.

Шенгенский проект потерпел крах

Фактическое открытие границ внутри ЕС сделало его страны-участницы чрезвычайно уязвимыми. Их восстановление могло бы вновь укрепить безопасность Европы, заявляет Дженис Эткинсон, британский евродепутат и член фракции «Европа наций и свобод» в Европарламенте.

«Сколько раз нам ещё придется наблюдать, как Елисейские поля или Эйфелева башня окрашиваются в цвета французского флага, сколько раз придётся зажигать свечи и устраивать траурные церемонии? Довольно! Нас называют радикалами, потому что мы говорим, что «шенгенский проект» потерпел крах и пора закрывать границы», — заявляет Эткинсон.

Особо Эткинсон отметила, что методы работы французских спецслужб, по всей видимости, не действуют, а уровень их подготовки и размер оперативных ресурсов ниже, чем у британских. Это делает Францию «слабым звеном».

«Их методы не работают. Я думаю, что французские разведслужбы на несколько лет отстают от наших (британских. — RT). У нас террористы устраивали взрывы ещё в 2005 году. У наших спецслужб больше ресурсов, больше полномочий. Кроме того, наши правоохранительные органы тщательно отслеживают этих людей, устанавливают их личности — на мой взгляд, именно поэтому в нашей стране не было таких атак в последнее время. Франция же отстает от нас в этом вопросе», — полагает британский евродепутат.

Напомним, накануне двое вооружённых мужчин захватили пять человек в церкви города Сент-Этьен-дю-Рувре на севере Франции, недалеко от Руана. Злоумышленники были ликвидированы полицией, а один из заложников, 84-летний священник, погиб. Ответственность за атаку взяла на себя террористическая организация «Исламское государство».

* «Исламское государство» — террористическая группировка, запрещённая в России"
4,https://russian.rt.com/article/313902-kancler-pod-udarom-kak-merkel-iz-kandidata,Канцлер под ударом: как Меркель из кандидата на Нобелевскую премию стала «матерью террора»,"В поезде, следовавшем из Вюрцбурга в Оксенфурт, пассажиров изрубили топором, в городке Ройтлинген беременную женщину убили ударом мачете, в Ансбахе сработало взрывное устройство. Нападения были совершены в разных городах и из разных побуждений, но их объединяет одно — подозреваемыми являются выходцы с Ближнего Востока. Многие немцы полагают, что ответственность за ситуацию в стране должна понести канцлер Германии Ангела Меркель. RT попытался разобраться, почему немцы стали называть своего канцлера «матерью террора».

Июль стал для Германии месяцем кровавых преступлений. Так, в городе ​Ройтлингене 24 июля беженец из Алеппо зарубил мачете беременную женщину, при этом два человека получили ранения. В этот же день в другом немецком городе Ансбах произошёл взрыв. Бомбу привёл в действие также сириец. По данным агентства Reuters, ответственность взяла на себя террористическая группировка «Исламское государство»*. Между тем немцы ещё не оправились от шока атаки 18 июля. Тогда 17-летний подросток-мигрант из Афганистана набросился с топором на пассажиров поезда, следовавшего из Вюрцбурга в Оксенфурт. Пятеро пассажиров были ранены.

Ревность, психологическая травма, националистические взгляды или терроризм — мотивы июльских преступлений различны, но и без длительных экспертиз очевиден общий момент: правонарушения совершили выходцы с Ближнего Востока, мигранты, беженцы, иностранцы-мусульмане, переехавшие в Германию из охваченных гражданской войной Сирии и Афганистана, разрушенного войной Ирака.

«Эти люди видели много насилия, психика многих расшатана, они привыкли наблюдать убийства у себя на родине, — поясняет в беседе с RT политолог, специалист по межнациональным конфликтам Евгений Михайлов. — С другой стороны, получая убежище в Европе, они замечают, как многое им сходит с рук. В Германии к ним многие относятся с сочувствием, им прощается то, что не прощается самим немцам. За годы жизни, часто безработной, на денежном обеспечении некоторые из беженцев просто-напросто распускаются и хватаются за оружие, чтобы таким чудовищным образом доказать свою значимость», — рассказывает политолог.

По словам Михайлова, такого рода преступников вычислить практически невозможно. Тем не менее можно проанализировать, почему они решились на свои кровавые акции. «Речь идёт прежде всего об ослабленной психике. Не будучи радикально настроенными изначально, мигранты радикализуются в ответ на неприятие их европейским обществом как своих, сложности в получении работы, адаптации в учебных заведениях, достижении соответствующего общеевропейскому уровня жизни», — считает эксперт.

Mutter Terroresia

Но про убийц-беженцев в Германии говорят неохотно. В центре внимания властей другая бойня: 22 июля в годовщину массового расстрела на норвежском острове Утейя, учинённого Андерсом Брейвиком, девять человек погибли в результате стрельбы в торговом центре Мюнхена и 35 были ранены. 18-летний немец (с иранскими корнями, но всю жизнь живший в Германии) выбирал жертв среди подростков и детей. Получив пулю от полицейского, он покончил жизнь самоубийством.

«Родителям и детям я лично и от имени людей в Германии говорю: мы разделяем вашу боль, мы страдаем вместе с вами», — на следующий день, выступая в Совбезе ООН, заявила канцлер Ангела Меркель.

Между тем многие немцы уже устали от соболезнований Меркель, политика канцлера теряет поддержку общества. Так, по немецкоязычным соцсетям после стрельбы в Мюнхене разошёлся портрет с изображением Меркель в образе строгой монахини и надписью Mutter Terroresia — «Мать террора». Авторы карикатуры считают, что Меркель сама довела Германию до такой плачевной ситуации. Готов с ними согласится и независимый политолог, магистр политических наук НИУ ВШЭ Алексей Симоянов.

Reuters

Толерантность превыше всего

«В конце концов Меркель всё-таки признала, что политика мультикультурализма провалилась, но проблема в том, что никакой альтернативы этой политики она до сих пор так и не предложила», — поясняет Симоянов RT.

Согласно эксперту, текущая миграционная доктрина Германии зарекомендовала себя как крайне неблагонадёжный инструмент. «Конечно, хорошо из соображений гуманизма и светского либерализма предоставлять убежище мигрантам, но не стоит забывать, что при этом сокращаются фонды на социальную поддержку собственных граждан, начинает расти безработица, стагнировать экономика», — продолжил Симоянов.

Такие лидеры Евросоюза, как Ангела Меркель или президент Франции Франсуа Олланд, под давлением Соединённых Штатов поддерживали агрессию против стран, откуда вследствие этой агрессии к ним теперь бегут люди, добавляет Евгений Михайлов. «Мне кажется, Меркель сейчас просто не представляет, как выйти из данного удручающего положения с мигрантами», — заявляет он в беседе с RT.

Мировой голос

Но год тому назад удручающим положение казалось далеко не всем. Так, в сентябре 2015 года немецкое издание Der Spiegel вышло с обложкой, на которой канцлер ФРГ представала совсем не в образе Mutter Terroresia — напротив, её изобразили в роли матери Терезы.

© Der Spiegel

Тогда, в 2015-м, немцы восхищались её по-европейски толерантным отношением к беженцам. Правительство ФРГ согласилось увеличить траты на мигрантов в четыре раза. Бегущим от гражданской войны людям готовы были предоставить жильё, медицинское обслуживание, начать учить немецкому языку. Первые сотни сирийских беженцев немцы встречали аплодисментами. Жители Франкфурта стояли на перронах городского вокзала с плакатами «Refugees, welcome!» и выкрикивали сходившим с поездов «Браво!»

Поддерживало главу ФРГ и западное сообщество. «Канцлер Германии Aнгела Меркель входит в число наиболее вероятных претендентов на получение Нобелевской премии мира благодаря своей позиции по проблеме беженцев», — писал тогда Bloomberg.

«Единственный современный европеец, который может претендовать на мантию величия, это канцлер Германии Ангела Меркель, фактический лидер Европейского союза», — утверждал бывший комиссар ЕС по международным делам, ректор Оксфордского университета Крис Паттен на страницах экспертного издания Project Syndicate.

Особое мнение

Однако не все голоса звучали в унисон. Тогда же, почти за год до сегодняшних терактов и расстрелов, говоря о гуманитарной катастрофе на Ближнем Востоке, президент России Владимир Путин произнёс с нью-йоркской трибуны ООН: «Так и хочется спросить тех, кто создал такую ситуацию: вы хоть понимаете теперь, чего вы натворили?»

В феврале 2016 года в Будапеште он в очередной раз вернулся к этой теме. «На наш взгляд, чтобы решить проблему беженцев, необходимо в первую очередь добиться политического урегулирования конфликтов в Сирии, Ливии, других странах, граждан которых война и разруха вынудили покинуть свои дома. Нужно сообща бороться с терроризмом», — заявил Путин на встрече с премьер-министром Венгрии Виктором Орбаном.

Спустя два месяца после этих слов, в апреле 2016-го, Ангела Меркель стала лауреатом престижной премии «Четырёх свобод» фонда Франклина Рузвельта — за успешные усилия по поддержке беженцев из стран Ближнего Востока и Африки. Те самые «успешные усилия», которые обернулись массовыми изнасилованиями немок беженцами в Кёльне в январе этого года и тремя кровавыми атаками выходцев с Ближнего Востока в последние дни июля.

Что дальше

С результатом «успешных усилий» Евросоюза по преодолению миграционного кризиса придётся бороться долгие годы, причём эта борьба будет требовать значительных затрат, финансовых и человеческих, полагает заведующий кафедрой политологии и социологии РЭУ им. Г.В. Плеханова Андрей Кошкин. «Предупредить такие преступления европейские органы безопасности не в состоянии — мы видели это на примере Франции, видим сейчас и в Германии», — отмечает он.

Ситуация будет ухудшаться, согласен Евгений Михайлов. «Это связано в первую очередь с тем, что повышение мер безопасности сделает групповые теракты на крупные объекты невозможными. А это значит, что структуры, подобные «Исламскому государству», будут стараться использовать одиночек, оказывать на них опосредованное влияние», — заключает он.

Работой только силовых или разведывательных структур подобные инциденты не предотвратить, уверяет Алексей Симоянов. «Нужен социальный ответ, новая миграционная программа, на реализацию которой потребуется не один год. Возможно, такая программа появится в будущем, но скорее всего уже не при канцлере Меркель».

* «Исламское государство» — террористическая организация, запрещённая в РФ."
